curvature;km;beauty;speedlimit
308;0.4;;
372;0.6;;
551;1.4;;
19;0.1;;
48;0.1;;
31;0.1;;
10;0.1;;
759;0.9;;
-;0.1;;
88;0.1;;
225;0.3;;
-;0.1;;
-;0.1;;
175;0.2;;
890;1.2;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.2;;
-;0.1;;
-;0.1;;
16;0.2;;
9;0.1;;
26;0.2;;
-;0.1;;
-;0.2;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
168;0.3;;
11;0.1;;
74;0.1;;
130;0.7;;
-;0.1;;
43;0.1;;
7;0.1;;
-;0.3;;
-;0.1;;
-;0.5;;
-;0.1;;
-;0.2;;
17;0.1;;
12;0.1;;
166;0.7;;
-;0.8;;
-;0.1;;
-;0.3;;
29;0.1;;
65;0.1;;
23;0.1;;
222;0.2;;
77;0.1;;
-;0.1;;
919;1.7;;
5;0.1;;
55;0.1;;
843;1.3;;
15;0.1;;
1011;1.9;;
52;0.2;;
-;0.1;;
-;0.4;;
-;0.1;;
5;0.1;;
37;0.1;;
164;0.3;;
199;0.7;;
-;0.1;;
250;0.3;;
-;0.1;;
100;0.2;;
52;0.1;;
28;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.3;;
7;0.4;;
8;0.1;;
-;0.1;;
-;0.1;;
52;0.4;;
-;0.2;;
-;0.1;;
-;0.3;;
65;0.9;;
